satisfaction,evaluation,averageMonthlyHours,yearsAtCompany,turnover
45.0,45.0,268,3,1
10.0,95.0,277,4,1
90.0,98.0,284,6,1
45.0,51.0,287,3,1
79.0,89.0,270,5,1
90.0,99.0,260,5,1
11.0,84.0,272,4,1
43.0,55.0,278,3,1
31.0,54.0,289,5,1
32.0,50.0,286,5,1
45.0,57.0,259,3,1
81.0,99.0,282,5,1
41.0,46.0,291,3,1
11.0,78.0,284,4,1
10.0,88.0,286,4,1
70.0,53.0,292,4,1
54.0,74.0,275,2,1
41.0,48.0,269,3,1
38.0,50.0,274,3,1
37.0,51.0,272,3,1
11.0,85.0,290,5,1
40.0,47.0,303,3,1
10.0,84.0,284,4,1
89.0,99.0,286,5,1
11.0,80.0,284,4,1
36.0,55.0,282,3,1
40.0,46.0,288,3,1
9.0,85.0,271,4,1
40.0,46.0,278,3,1
37.0,55.0,266,3,1
44.0,51.0,259,3,1
9.0,80.0,269,5,1
92.0,87.0,280,6,1
74.0,91.0,259,5,1
9.0,82.0,266,4,1
89.0,95.0,283,5,1
9.0,80.0,273,4,1
27.0,54.0,294,3,1
10.0,91.0,261,4,1
10.0,89.0,284,4,1
77.0,94.0,261,6,1
90.0,82.0,262,5,1
39.0,50.0,262,3,1
76.0,100.0,265,5,1
10.0,93.0,280,4,1
87.0,90.0,280,6,1
38.0,50.0,277,3,1
77.0,99.0,285,5,1
78.0,87.0,281,5,1
44.0,50.0,277,3,1
38.0,52.0,275,3,1
43.0,46.0,286,3,1
39.0,50.0,266,3,1
88.0,100.0,263,5,1
45.0,46.0,267,3,1
40.0,53.0,268,3,1
36.0,51.0,280,3,1
36.0,48.0,276,3,1
90.0,98.0,275,5,1
43.0,53.0,275,3,1
89.0,87.0,285,5,1
10.0,84.0,280,4,1
37.0,50.0,260,3,1
37.0,51.0,263,3,1
87.0,90.0,267,5,1
40.0,56.0,266,3,1
90.0,97.0,282,5,1
37.0,46.0,266,3,1
44.0,54.0,289,3,1
85.0,95.0,281,5,1
78.0,98.0,252,6,1
42.0,47.0,282,3,1
92.0,99.0,279,6,1
11.0,83.0,282,4,1
42.0,56.0,289,3,1
48.0,57.0,275,4,1
83.0,85.0,274,5,1
40.0,53.0,300,3,1
43.0,45.0,279,3,1
43.0,53.0,279,3,1
10.0,97.0,267,4,1
10.0,87.0,280,4,1
37.0,46.0,277,3,1
38.0,53.0,289,3,1
40.0,50.0,274,3,1
89.0,86.0,292,5,1
45.0,46.0,280,3,1
37.0,48.0,277,3,1
46.0,49.0,276,3,1
87.0,91.0,284,5,1
11.0,84.0,279,4,1
79.0,87.0,273,5,1
79.0,92.0,261,6,1
19.0,59.0,271,3,1
87.0,98.0,269,5,1
60.0,92.0,288,5,1
44.0,45.0,263,3,1
11.0,81.0,287,4,1
42.0,54.0,285,3,1
88.0,88.0,279,5,1
11.0,84.0,291,4,1
46.0,46.0,272,3,1
82.0,97.0,272,5,1
44.0,56.0,266,3,1
11.0,78.0,278,4,1
42.0,50.0,281,3,1
84.0,93.0,269,5,1
11.0,95.0,284,4,1
45.0,53.0,275,3,1
38.0,56.0,272,3,1
38.0,86.0,278,6,1
44.0,51.0,273,3,1
11.0,84.0,272,4,1
81.0,93.0,278,5,1
9.0,96.0,262,4,1
11.0,90.0,269,4,1
81.0,95.0,268,6,1
10.0,97.0,282,4,1
74.0,89.0,274,6,1
9.0,78.0,265,4,1
82.0,81.0,271,4,1
10.0,98.0,268,4,1
27.0,56.0,271,3,1
83.0,92.0,280,6,1
10.0,93.0,276,4,1
38.0,47.0,272,3,1
40.0,56.0,266,3,1
11.0,83.0,284,4,1
11.0,79.0,274,4,1
82.0,91.0,258,5,1
36.0,48.0,290,3,1
40.0,46.0,277,3,1
87.0,84.0,271,5,1
41.0,49.0,275,3,1
11.0,91.0,280,4,1
10.0,93.0,281,4,1
38.0,51.0,272,3,1
39.0,55.0,269,3,1
40.0,52.0,286,3,1
45.0,48.0,263,3,1
74.0,84.0,284,5,1
45.0,55.0,266,3,1
12.0,100.0,289,4,1
10.0,77.0,279,5,1
37.0,55.0,283,3,1
89.0,87.0,263,5,1
45.0,47.0,267,3,1
37.0,46.0,278,3,1
11.0,81.0,258,4,1
41.0,48.0,264,3,1
10.0,94.0,269,4,1
10.0,93.0,279,4,1
11.0,95.0,281,4,1
40.0,54.0,283,3,1
41.0,49.0,291,3,1
10.0,81.0,284,4,1
73.0,86.0,297,6,1
43.0,47.0,277,3,1
37.0,46.0,295,3,1
11.0,94.0,272,4,1
40.0,46.0,269,3,1
41.0,54.0,273,3,1
82.0,84.0,267,5,1
61.0,47.0,276,3,1
11.0,91.0,274,4,1
37.0,45.0,278,3,1
41.0,52.0,288,3,1
37.0,52.0,277,3,1
88.0,99.0,273,6,1
10.0,85.0,256,4,1
44.0,48.0,295,3,1
38.0,57.0,285,3,1
11.0,85.0,278,4,1
9.0,98.0,277,4,1
45.0,52.0,268,3,1
10.0,81.0,278,4,1
45.0,47.0,284,3,1
77.0,87.0,278,5,1
44.0,51.0,274,3,1
39.0,50.0,278,3,1
10.0,91.0,276,4,1
9.0,89.0,270,5,1
37.0,47.0,273,3,1
90.0,100.0,272,5,1
41.0,56.0,281,3,1
37.0,52.0,283,3,1
10.0,86.0,277,4,1
81.0,100.0,286,5,1
11.0,80.0,289,4,1
11.0,84.0,272,4,1
40.0,46.0,269,3,1
9.0,80.0,274,5,1
48.0,93.0,272,6,1
91.0,91.0,281,6,1
43.0,57.0,272,3,1
33.0,88.0,297,5,1
41.0,57.0,272,3,1
41.0,55.0,263,3,1
37.0,54.0,297,3,1
31.0,62.0,284,5,1
9.0,91.0,270,4,1
10.0,87.0,270,4,1
76.0,90.0,277,5,1
41.0,54.0,267,3,1
72.0,96.0,273,5,1
40.0,50.0,286,3,1
91.0,87.0,274,5,1
10.0,83.0,281,4,1
40.0,56.0,275,3,1
82.0,86.0,281,5,1
10.0,82.0,261,4,1
37.0,45.0,262,3,1
36.0,51.0,252,3,1
39.0,48.0,289,3,1
36.0,57.0,264,3,1
86.0,84.0,282,5,1
73.0,99.0,282,5,1
56.0,71.0,287,2,1
44.0,56.0,290,3,1
31.0,56.0,275,2,1
77.0,93.0,279,5,1
44.0,45.0,284,3,1
38.0,46.0,264,3,1
45.0,48.0,292,3,1
38.0,51.0,277,3,1
36.0,48.0,271,3,1
75.0,90.0,245,5,1
10.0,93.0,271,4,1
10.0,97.0,264,4,1
45.0,50.0,255,3,1
42.0,57.0,280,3,1
78.0,100.0,260,5,1
45.0,55.0,262,3,1
84.0,100.0,280,5,1
11.0,93.0,274,4,1
42.0,56.0,260,3,1
45.0,46.0,266,3,1
46.0,57.0,284,3,1
9.0,79.0,269,5,1
87.0,83.0,285,6,1
10.0,87.0,264,4,1
91.0,100.0,261,6,1
76.0,92.0,271,5,1
74.0,100.0,272,5,1
92.0,93.0,269,5,1
76.0,87.0,267,5,1
47.0,50.0,279,4,1
73.0,99.0,279,5,1
9.0,94.0,274,4,1
91.0,92.0,279,5,1
82.0,98.0,290,5,1
28.0,45.0,271,4,1
84.0,99.0,271,6,1
45.0,53.0,242,3,1
45.0,54.0,280,3,1
91.0,97.0,275,5,1
42.0,48.0,276,3,1
82.0,100.0,278,6,1
11.0,90.0,260,4,1
42.0,53.0,283,4,1
82.0,85.0,263,5,1
9.0,96.0,288,4,1
10.0,94.0,276,4,1
86.0,100.0,277,5,1
40.0,46.0,269,3,1
45.0,46.0,270,3,1
42.0,51.0,272,3,1
74.0,92.0,269,5,1
55.0,60.0,275,4,1
37.0,45.0,289,3,1
41.0,52.0,278,3,1
89.0,65.0,273,6,1
41.0,57.0,291,3,1
44.0,51.0,270,3,1
87.0,84.0,271,6,1
10.0,84.0,257,4,1
41.0,47.0,251,3,1
11.0,85.0,279,4,1
43.0,53.0,282,3,1
77.0,90.0,261,5,1
41.0,52.0,287,3,1
41.0,48.0,261,3,1
36.0,78.0,277,4,1
77.0,100.0,265,5,1
81.0,98.0,279,5,1
39.0,54.0,266,3,1
9.0,94.0,268,5,1
44.0,46.0,265,3,1
10.0,84.0,283,4,1
36.0,48.0,273,3,1
81.0,92.0,278,5,1
81.0,90.0,278,5,1
85.0,98.0,272,5,1
10.0,87.0,289,4,1
37.0,54.0,276,3,1
9.0,97.0,281,4,1
44.0,53.0,291,3,1
86.0,93.0,279,5,1
77.0,100.0,270,5,1
41.0,48.0,262,3,1
40.0,48.0,286,3,1
43.0,49.0,274,3,1
43.0,50.0,278,3,1
80.0,53.0,294,5,1
80.0,85.0,273,5,1
82.0,98.0,276,5,1
37.0,54.0,271,3,1
37.0,48.0,284,3,1
9.0,95.0,276,4,1
90.0,92.0,279,5,1
41.0,52.0,280,3,1
10.0,85.0,267,4,1
44.0,53.0,284,3,1
89.0,85.0,275,5,1
42.0,56.0,277,3,1
87.0,100.0,276,5,1
45.0,57.0,279,3,1
11.0,87.0,285,4,1
9.0,79.0,277,4,1
76.0,83.0,282,5,1
11.0,96.0,268,5,1
37.0,49.0,296,3,1
10.0,79.0,269,4,1
77.0,87.0,264,6,1
42.0,54.0,300,3,1
38.0,52.0,262,3,1
32.0,95.0,274,2,1
38.0,49.0,288,3,1
19.0,100.0,273,4,1
10.0,83.0,277,4,1
76.0,88.0,268,4,1
53.0,56.0,265,6,1
39.0,51.0,272,3,1
11.0,83.0,264,4,1
10.0,94.0,293,4,1
84.0,100.0,276,5,1
82.0,99.0,264,6,1
10.0,82.0,282,4,1
59.0,49.0,283,4,1
44.0,48.0,266,3,1
89.0,95.0,272,5,1
91.0,84.0,288,5,1
66.0,57.0,262,5,1
11.0,87.0,279,5,1
43.0,51.0,275,3,1
78.0,83.0,285,6,1
11.0,97.0,284,5,1
83.0,98.0,267,5,1
39.0,54.0,279,3,1
38.0,55.0,280,3,1
37.0,57.0,269,3,1
44.0,48.0,274,3,1
53.0,85.0,279,5,1
9.0,96.0,290,4,1
11.0,89.0,285,4,1
83.0,96.0,254,5,1
88.0,100.0,277,6,1
10.0,89.0,283,4,1
9.0,86.0,263,4,1
44.0,54.0,292,3,1
39.0,51.0,282,3,1
87.0,94.0,247,5,1
74.0,99.0,279,5,1
10.0,95.0,265,4,1
74.0,82.0,256,6,1
75.0,99.0,267,5,1
41.0,56.0,248,3,1
41.0,45.0,277,3,1
9.0,90.0,272,4,1
9.0,80.0,271,5,1
39.0,57.0,296,3,1
40.0,56.0,269,3,1
37.0,54.0,273,3,1
10.0,84.0,271,4,1
43.0,51.0,270,3,1
75.0,85.0,254,6,1
37.0,56.0,266,3,1
11.0,85.0,266,4,1
45.0,45.0,278,3,1
87.0,100.0,276,5,1
11.0,94.0,272,4,1
45.0,54.0,285,3,1
81.0,87.0,266,5,1
77.0,91.0,282,5,1
89.0,92.0,260,5,1
43.0,49.0,281,3,1
78.0,100.0,267,5,1
37.0,47.0,288,3,1
37.0,50.0,272,3,1
85.0,82.0,242,5,1
41.0,47.0,275,3,1
11.0,96.0,274,4,1
75.0,99.0,280,5,1
82.0,85.0,274,5,1
79.0,100.0,267,6,1
43.0,53.0,267,3,1
10.0,90.0,273,4,1
46.0,48.0,283,3,1
43.0,57.0,295,3,1
43.0,55.0,276,3,1
11.0,80.0,271,4,1
9.0,86.0,278,4,1
37.0,53.0,271,3,1
40.0,57.0,276,3,1
10.0,77.0,268,4,1
41.0,53.0,281,3,1
79.0,58.0,262,4,1
11.0,79.0,272,4,1
10.0,97.0,269,4,1
44.0,51.0,281,3,1
25.0,46.0,271,4,1
44.0,52.0,273,3,1
73.0,100.0,270,5,1
75.0,97.0,269,6,1
36.0,47.0,296,3,1
37.0,49.0,288,3,1
39.0,49.0,283,3,1
48.0,78.0,258,2,1
57.0,72.0,275,6,1
90.0,96.0,295,5,1
39.0,55.0,292,3,1
44.0,51.0,269,3,1
81.0,88.0,277,5,1
74.0,87.0,287,5,1
44.0,56.0,289,3,1
41.0,56.0,276,3,1
40.0,51.0,281,3,1
46.0,57.0,275,3,1
80.0,83.0,274,3,1
87.0,90.0,292,5,1
39.0,54.0,282,3,1
38.0,55.0,287,3,1
66.0,67.0,278,3,1
10.0,80.0,290,4,1
37.0,54.0,280,3,1
10.0,77.0,264,4,1
9.0,87.0,267,4,1
86.0,84.0,277,5,1
11.0,90.0,251,4,1
37.0,46.0,270,3,1
11.0,92.0,270,4,1
77.0,98.0,271,6,1
84.0,94.0,274,6,1
10.0,84.0,268,4,1
83.0,90.0,266,5,1
11.0,79.0,289,4,1
86.0,92.0,264,5,1
38.0,56.0,277,3,1
11.0,88.0,270,4,1
45.0,49.0,281,3,1
10.0,85.0,265,4,1
9.0,95.0,273,4,1
39.0,53.0,275,3,1
37.0,47.0,283,3,1
81.0,97.0,259,5,1
9.0,90.0,291,4,1
10.0,88.0,275,4,1
39.0,49.0,263,3,1
83.0,95.0,283,5,1
45.0,57.0,263,3,1
43.0,51.0,276,3,1
80.0,75.0,282,2,1
10.0,86.0,265,4,1
10.0,55.0,271,4,1
36.0,52.0,276,3,1
38.0,50.0,275,3,1
78.0,98.0,274,6,1
44.0,49.0,276,3,1
41.0,46.0,284,3,1
72.0,85.0,286,6,1
46.0,54.0,292,3,1
10.0,90.0,262,4,1
34.0,67.0,260,2,1
11.0,89.0,260,5,1
38.0,56.0,269,3,1
82.0,92.0,274,5,1
39.0,57.0,285,3,1
44.0,53.0,270,3,1
43.0,52.0,272,3,1
84.0,83.0,286,5,1
43.0,48.0,276,3,1
37.0,52.0,274,3,1
74.0,97.0,270,5,1
73.0,97.0,273,5,1
37.0,47.0,273,3,1
58.0,62.0,279,3,1
40.0,54.0,274,3,1
51.0,83.0,260,4,1
46.0,50.0,276,3,1
45.0,54.0,268,3,1
46.0,50.0,281,3,1
39.0,45.0,262,3,1
9.0,88.0,263,4,1
9.0,77.0,271,4,1
37.0,51.0,290,3,1
10.0,89.0,281,4,1
77.0,100.0,284,5,1
79.0,86.0,264,5,1
43.0,55.0,295,3,1
38.0,53.0,274,3,1
77.0,91.0,272,6,1
44.0,50.0,294,3,1
39.0,46.0,265,3,1
78.0,89.0,263,6,1
10.0,79.0,267,5,1
10.0,77.0,262,4,1
75.0,85.0,269,5,1
46.0,62.0,286,3,1
91.0,97.0,281,6,1
10.0,92.0,297,4,1
72.0,60.0,255,5,1
11.0,95.0,283,4,1
11.0,94.0,302,4,1
46.0,57.0,266,3,1
37.0,46.0,271,3,1
46.0,50.0,270,3,1
43.0,57.0,272,3,1
11.0,82.0,247,4,1
73.0,89.0,258,6,1
43.0,47.0,291,3,1
86.0,100.0,273,5,1
10.0,83.0,277,4,1
40.0,49.0,264,3,1
11.0,87.0,262,4,1
86.0,98.0,278,5,1
42.0,100.0,270,3,1
79.0,84.0,278,5,1
10.0,96.0,272,4,1
9.0,92.0,282,4,1
9.0,82.0,274,4,1
87.0,100.0,289,5,1
36.0,49.0,271,3,1
42.0,75.0,283,4,1
84.0,86.0,263,5,1
10.0,83.0,298,4,1
78.0,71.0,279,5,1
35.0,99.0,268,4,1
10.0,81.0,281,4,1
11.0,80.0,291,4,1
43.0,48.0,287,3,1
38.0,45.0,265,3,1
46.0,54.0,284,3,1
89.0,82.0,272,5,1
45.0,50.0,258,3,1
44.0,53.0,284,3,1
74.0,54.0,294,3,1
45.0,54.0,272,3,1
79.0,93.0,290,5,1
79.0,91.0,271,5,1
11.0,87.0,273,4,1
42.0,48.0,281,3,1
64.0,90.0,273,2,1
40.0,55.0,265,3,1
84.0,98.0,270,5,1
73.0,92.0,280,5,1
40.0,51.0,286,3,1
36.0,45.0,267,3,1
43.0,47.0,280,3,1
11.0,78.0,277,4,1
91.0,100.0,262,6,1
80.0,100.0,277,5,1
42.0,49.0,263,3,1
31.0,87.0,276,3,1
44.0,47.0,283,3,1
38.0,54.0,260,3,1
45.0,56.0,277,3,1
43.0,46.0,266,3,1
45.0,46.0,280,3,1
43.0,57.0,300,3,1
43.0,49.0,267,3,1
9.0,83.0,275,4,1
43.0,47.0,264,3,1
79.0,94.0,283,5,1
85.0,58.0,258,2,1
38.0,45.0,295,3,1
11.0,92.0,271,4,1
83.0,99.0,260,5,1
81.0,91.0,277,5,1
42.0,56.0,282,3,1
11.0,87.0,277,4,1
11.0,85.0,290,4,1
10.0,89.0,284,4,1
50.0,54.0,263,4,1
44.0,49.0,264,3,1
11.0,90.0,280,4,1
39.0,52.0,263,3,1
11.0,78.0,263,4,1
36.0,50.0,273,3,1
43.0,51.0,269,3,1
40.0,50.0,276,3,1
86.0,84.0,278,6,1
38.0,49.0,253,3,1
46.0,45.0,273,3,1
37.0,57.0,267,3,1
43.0,52.0,288,3,1
66.0,93.0,280,5,1
37.0,48.0,283,3,1
77.0,92.0,283,5,1
38.0,55.0,287,3,1
39.0,54.0,287,3,1
41.0,55.0,293,3,1
10.0,90.0,265,4,1
9.0,93.0,254,4,1
41.0,47.0,283,3,1
39.0,46.0,274,3,1
83.0,99.0,263,5,1
9.0,87.0,272,2,1
75.0,81.0,304,5,1
44.0,54.0,290,3,1
10.0,84.0,278,5,1
42.0,46.0,264,3,1
10.0,83.0,268,4,1
10.0,86.0,274,4,1
31.0,77.0,264,3,1
42.0,54.0,277,3,1
38.0,50.0,270,3,1
39.0,57.0,278,3,1
10.0,97.0,277,5,1
11.0,93.0,264,4,1
10.0,92.0,276,4,1
11.0,90.0,255,4,1
44.0,65.0,271,4,1
91.0,96.0,280,5,1
72.0,100.0,279,5,1
36.0,46.0,291,3,1
44.0,57.0,276,3,1
85.0,99.0,281,5,1
78.0,93.0,277,5,1
39.0,46.0,251,3,1
78.0,81.0,273,2,1
10.0,92.0,281,4,1
23.0,99.0,292,4,1
11.0,87.0,274,4,1
90.0,83.0,261,5,1
91.0,89.0,278,5,1
11.0,79.0,269,4,1
43.0,54.0,282,3,1
45.0,49.0,277,3,1
11.0,91.0,276,4,1
11.0,93.0,265,4,1
43.0,50.0,276,3,1
91.0,97.0,275,6,1
43.0,55.0,267,3,1
85.0,82.0,293,6,1
10.0,77.0,290,4,1
81.0,95.0,291,5,1
36.0,62.0,280,2,1
45.0,54.0,271,3,1
86.0,100.0,287,5,1
71.0,100.0,267,5,1
11.0,97.0,296,4,1
84.0,93.0,282,5,1
9.0,97.0,297,4,1
38.0,49.0,274,3,1
15.0,55.0,291,4,1
10.0,92.0,275,4,1
80.0,97.0,290,5,1
84.0,97.0,273,5,1
11.0,87.0,270,4,1
89.0,79.0,269,2,1
45.0,51.0,268,3,1
11.0,93.0,296,4,1
74.0,93.0,272,5,1
41.0,50.0,285,3,1
44.0,53.0,283,3,1
37.0,56.0,289,3,1
11.0,86.0,285,4,1
10.0,93.0,295,4,1
70.0,74.0,290,3,1
59.0,100.0,266,5,1
38.0,53.0,267,3,1
72.0,95.0,261,5,1
73.0,100.0,260,5,1
39.0,48.0,286,3,1
89.0,82.0,280,6,1
89.0,100.0,264,5,1
11.0,78.0,271,4,1
43.0,56.0,277,3,1
9.0,93.0,277,4,1
81.0,90.0,268,6,1
37.0,53.0,276,3,1
36.0,56.0,295,3,1
11.0,85.0,276,4,1
10.0,85.0,289,4,1
66.0,47.0,294,2,1
39.0,47.0,296,3,1
44.0,51.0,278,3,1
10.0,84.0,281,4,1
79.0,94.0,264,6,1
10.0,81.0,284,4,1
54.0,94.0,276,3,1
37.0,47.0,272,3,1
37.0,57.0,281,3,1
82.0,89.0,277,5,1
45.0,52.0,278,3,1
79.0,90.0,269,5,1
42.0,56.0,274,3,1
10.0,85.0,277,4,1
11.0,78.0,289,4,1
74.0,100.0,296,5,1
10.0,93.0,281,4,1
79.0,100.0,272,5,1
43.0,48.0,268,3,1
41.0,47.0,289,3,1
39.0,55.0,278,3,1
10.0,94.0,277,4,1
82.0,85.0,290,5,1
41.0,46.0,273,3,1
42.0,56.0,259,3,1
74.0,88.0,283,6,1
38.0,57.0,271,3,1
39.0,56.0,265,3,1
87.0,94.0,275,5,1
10.0,90.0,279,4,1
78.0,100.0,272,5,1
14.0,73.0,266,5,1
11.0,94.0,257,5,1
91.0,94.0,265,5,1
49.0,63.0,260,3,1
38.0,47.0,259,3,1
82.0,97.0,282,5,1
38.0,88.0,274,4,1
89.0,100.0,291,5,1
11.0,79.0,283,4,1
37.0,51.0,280,3,1
38.0,50.0,282,3,1
78.0,87.0,276,5,1
41.0,51.0,257,3,1
41.0,51.0,283,3,1
11.0,83.0,280,4,1
11.0,79.0,273,4,1
43.0,57.0,255,3,1
75.0,86.0,271,5,1
74.0,99.0,276,5,1
85.0,85.0,276,5,1
73.0,92.0,262,5,1
10.0,79.0,268,4,1
44.0,56.0,276,3,1
30.0,56.0,275,4,1
11.0,77.0,283,4,1
84.0,83.0,279,5,1
78.0,94.0,262,6,1
43.0,53.0,271,3,1
36.0,55.0,267,3,1
43.0,47.0,282,3,1
45.0,46.0,282,3,1
76.0,93.0,277,5,1
10.0,78.0,272,4,1
9.0,86.0,292,4,1
92.0,100.0,271,5,1
92.0,90.0,269,5,1
79.0,98.0,281,5,1
43.0,51.0,271,3,1
80.0,95.0,268,5,1
44.0,49.0,264,3,1
89.0,87.0,277,6,1
48.0,88.0,265,3,1
11.0,82.0,263,4,1
38.0,55.0,272,3,1
11.0,85.0,273,4,1
82.0,86.0,291,5,1
37.0,45.0,259,3,1
40.0,48.0,276,3,1
43.0,47.0,276,3,1
44.0,50.0,260,3,1
42.0,56.0,285,3,1
11.0,80.0,291,4,1
78.0,87.0,275,5,1
46.0,86.0,282,4,1
77.0,91.0,271,6,1
83.0,82.0,277,5,1
32.0,58.0,287,5,1
90.0,92.0,286,4,1
42.0,52.0,272,3,1
10.0,96.0,275,4,1
10.0,91.0,288,4,1
44.0,49.0,278,3,1
10.0,95.0,287,4,1
11.0,80.0,265,4,1
10.0,89.0,273,4,1
39.0,47.0,265,3,1
92.0,92.0,289,5,1
43.0,56.0,279,3,1
11.0,89.0,270,4,1
81.0,100.0,263,5,1
11.0,85.0,272,4,1
87.0,100.0,274,5,1
37.0,46.0,283,3,1
39.0,56.0,266,3,1
61.0,86.0,286,4,1
11.0,95.0,285,4,1
9.0,90.0,271,5,1
36.0,52.0,269,3,1
9.0,94.0,274,4,1
41.0,71.0,265,5,1
40.0,46.0,276,3,1
10.0,91.0,271,5,1
46.0,53.0,259,3,1
39.0,57.0,276,3,1
41.0,50.0,272,3,1
10.0,94.0,257,4,1
39.0,51.0,275,3,1
73.0,83.0,262,5,1
41.0,45.0,272,3,1
37.0,51.0,254,3,1
38.0,50.0,267,3,1
80.0,63.0,287,5,1
9.0,85.0,261,4,1
85.0,92.0,273,5,1
42.0,54.0,275,3,1
41.0,48.0,289,3,1
38.0,46.0,261,3,1
72.0,100.0,278,5,1
11.0,74.0,279,5,1
37.0,47.0,292,3,1
10.0,81.0,273,4,1
36.0,54.0,247,3,1
92.0,94.0,276,5,1
11.0,87.0,290,4,1
39.0,56.0,274,3,1
11.0,95.0,269,4,1
45.0,45.0,276,3,1
44.0,55.0,279,3,1
85.0,97.0,277,6,1
43.0,52.0,294,3,1
75.0,86.0,273,5,1
11.0,55.0,264,3,1
36.0,50.0,256,3,1
10.0,79.0,261,4,1
74.0,89.0,283,5,1
40.0,46.0,272,3,1
9.0,77.0,280,4,1
76.0,91.0,275,5,1
45.0,57.0,292,3,1
84.0,88.0,264,5,1
38.0,45.0,274,3,1
